name,dur,op_name,input_type_shape,output_type_shape
resnetv17_stage2__plus1_quant_kernel_time,82.0,QLinearAdd,"[{""uint8"": [1, 28, 28, 512]}, {""float"": []}, {""uint8"": []}, {""uint8"": [1, 28, 28, 512]}, {""float"": []}, {""uint8"": []}, {""float"": []}, {""uint8"": []}]","[{""uint8"": [1, 28, 28, 512]}]"
QLinearConv_token_735_kernel_time,155.0,QLinearConv,"[{""uint8"": [1, 28, 28, 512]}, {""float"": []}, {""uint8"": []}, {""float"": [128]}, {""int8"": [128]}, {""float"": []}, {""uint8"": []}, {""int32"": [128]}]","[{""uint8"": [1, 28, 28, 128]}]"
QLinearConv_token_738_kernel_time,345.0,QLinearConv,"[{""uint8"": [1, 28, 28, 128]}, {""float"": []}, {""uint8"": []}, {""float"": [128]}, {""int8"": [128]}, {""float"": []}, {""uint8"": []}, {""int32"": [128]}]","[{""uint8"": [1, 28, 28, 128]}]"
QLinearConv_token_741_kernel_time,207.0,QLinearConv,"[{""uint8"": [1, 28, 28, 128]}, {""float"": []}, {""uint8"": []}, {""float"": [512]}, {""int8"": [512]}, {""float"": []}, {""uint8"": []}, {""int32"": [512]}]","[{""uint8"": [1, 28, 28, 512]}]"
resnetv17_stage2__plus2_quant_kernel_time,82.0,QLinearAdd,"[{""uint8"": [1, 28, 28, 512]}, {""float"": []}, {""uint8"": []}, {""uint8"": [1, 28, 28, 512]}, {""float"": []}, {""uint8"": []}, {""float"": []}, {""uint8"": []}]","[{""uint8"": [1, 28, 28, 512]}]"
QLinearConv_token_745_kernel_time,155.0,QLinearConv,"[{""uint8"": [1, 28, 28, 512]}, {""float"": []}, {""uint8"": []}, {""float"": [128]}, {""int8"": [128]}, {""float"": []}, {""uint8"": []}, {""int32"": [128]}]","[{""uint8"": [1, 28, 28, 128]}]"
QLinearConv_token_748_kernel_time,345.0,QLinearConv,"[{""uint8"": [1, 28, 28, 128]}, {""float"": []}, {""uint8"": []}, {""float"": [128]}, {""int8"": [128]}, {""float"": []}, {""uint8"": []}, {""int32"": [128]}]","[{""uint8"": [1, 28, 28, 128]}]"
QLinearConv_token_751_kernel_time,205.0,QLinearConv,"[{""uint8"": [1, 28, 28, 128]}, {""float"": []}, {""uint8"": []}, {""float"": [512]}, {""int8"": [512]}, {""float"": []}, {""uint8"": []}, {""int32"": [512]}]","[{""uint8"": [1, 28, 28, 512]}]"
resnetv17_stage2__plus3_quant_kernel_time,82.0,QLinearAdd,"[{""uint8"": [1, 28, 28, 512]}, {""float"": []}, {""uint8"": []}, {""uint8"": [1, 28, 28, 512]}, {""float"": []}, {""uint8"": []}, {""float"": []}, {""uint8"": []}]","[{""uint8"": [1, 28, 28, 512]}]"
QLinearConv_token_764_kernel_time,350.0,QLinearConv,"[{""uint8"": [1, 28, 28, 512]}, {""float"": []}, {""uint8"": []}, {""float"": [1024]}, {""int8"": [1024]}, {""float"": []}, {""uint8"": []}, {""int32"": [1024]}]","[{""uint8"": [1, 14, 14, 1024]}]"
QLinearConv_token_755_kernel_time,101.0,QLinearConv,"[{""uint8"": [1, 28, 28, 512]}, {""float"": []}, {""uint8"": []}, {""float"": [256]}, {""int8"": [256]}, {""float"": []}, {""uint8"": []}, {""int32"": [256]}]","[{""uint8"": [1, 14, 14, 256]}]"
QLinearConv_token_758_kernel_time,367.0,QLinearConv,"[{""uint8"": [1, 14, 14, 256]}, {""float"": []}, {""uint8"": []}, {""float"": [256]}, {""int8"": [256]}, {""float"": []}, {""uint8"": []}, {""int32"": [256]}]","[{""uint8"": [1, 14, 14, 256]}]"
QLinearConv_token_761_kernel_time,195.0,QLinearConv,"[{""uint8"": [1, 14, 14, 256]}, {""float"": []}, {""uint8"": []}, {""float"": [1024]}, {""int8"": [1024]}, {""float"": []}, {""uint8"": []}, {""int32"": [1024]}]","[{""uint8"": [1, 14, 14, 1024]}]"
resnetv17_stage3__plus0_quant_kernel_time,49.0,QLinearAdd,"[{""uint8"": [1, 14, 14, 1024]}, {""float"": []}, {""uint8"": []}, {""uint8"": [1, 14, 14, 1024]}, {""float"": []}, {""uint8"": []}, {""float"": []}, {""uint8"": []}]","[{""uint8"": [1, 14, 14, 1024]}]"
QLinearConv_token_768_kernel_time,169.0,QLinearConv,"[{""uint8"": [1, 14, 14, 1024]}, {""float"": []}, {""uint8"": []}, {""float"": [256]}, {""int8"": [256]}, {""float"": []}, {""uint8"": []}, {""int32"": [256]}]","[{""uint8"": [1, 14, 14, 256]}]"
QLinearConv_token_771_kernel_time,365.0,QLinearConv,"[{""uint8"": [1, 14, 14, 256]}, {""float"": []}, {""uint8"": []}, {""float"": [256]}, {""int8"": [256]}, {""float"": []}, {""uint8"": []}, {""int32"": [256]}]","[{""uint8"": [1, 14, 14, 256]}]"
QLinearConv_token_774_kernel_time,196.0,QLinearConv,"[{""uint8"": [1, 14, 14, 256]}, {""float"": []}, {""uint8"": []}, {""float"": [1024]}, {""int8"": [1024]}, {""float"": []}, {""uint8"": []}, {""int32"": [1024]}]","[{""uint8"": [1, 14, 14, 1024]}]"
resnetv17_stage3__plus1_quant_kernel_time,48.0,QLinearAdd,"[{""uint8"": [1, 14, 14, 1024]}, {""float"": []}, {""uint8"": []}, {""uint8"": [1, 14, 14, 1024]}, {""float"": []}, {""uint8"": []}, {""float"": []}, {""uint8"": []}]","[{""uint8"": [1, 14, 14, 1024]}]"
QLinearConv_token_778_kernel_time,170.0,QLinearConv,"[{""uint8"": [1, 14, 14, 1024]}, {""float"": []}, {""uint8"": []}, {""float"": [256]}, {""int8"": [256]}, {""float"": []}, {""uint8"": []}, {""int32"": [256]}]","[{""uint8"": [1, 14, 14, 256]}]"
