name,op_name,provider,node_index,dur,activation_size,output_size,input_type_shape,output_type_shape
bert/encoder/layer_9/output/LayerNorm/batchnorm/Rsqrt__441_fence_before,Reciprocal,,,0,,,"""""",""""""
bert/encoder/layer_9/output/LayerNorm/batchnorm/Rsqrt__441_kernel_time,Reciprocal,CPUExecutionProvider,1034,7,1024,1024,"[{""float"": [256, 1]}]","[{""float"": [256, 1]}]"
bert/encoder/layer_9/output/LayerNorm/batchnorm/Rsqrt__441_fence_after,Reciprocal,,,0,,,"""""",""""""
bert/encoder/layer_9/output/LayerNorm/batchnorm/mul_fence_before,Mul,,,0,,,"""""",""""""
bert/encoder/layer_9/output/LayerNorm/batchnorm/mul_kernel_time,Mul,CPUExecutionProvider,1035,28,1024,786432,"[{""float"": [256, 1]}, {""float"": [768]}]","[{""float"": [256, 768]}]"
bert/encoder/layer_9/output/LayerNorm/batchnorm/mul_fence_after,Mul,,,0,,,"""""",""""""
bert/encoder/layer_9/output/LayerNorm/batchnorm/mul_2_fence_before,Mul,,,0,,,"""""",""""""
bert/encoder/layer_9/output/LayerNorm/batchnorm/mul_2_kernel_time,Mul,CPUExecutionProvider,1037,28,787456,786432,"[{""float"": [256, 1]}, {""float"": [256, 768]}]","[{""float"": [256, 768]}]"
bert/encoder/layer_9/output/LayerNorm/batchnorm/mul_2_fence_after,Mul,,,0,,,"""""",""""""
bert/encoder/layer_9/output/LayerNorm/batchnorm/sub_fence_before,Sub,,,0,,,"""""",""""""
bert/encoder/layer_9/output/LayerNorm/batchnorm/sub_kernel_time,Sub,CPUExecutionProvider,1038,31,786432,786432,"[{""float"": [768]}, {""float"": [256, 768]}]","[{""float"": [256, 768]}]"
bert/encoder/layer_9/output/LayerNorm/batchnorm/sub_fence_after,Sub,,,0,,,"""""",""""""
bert/encoder/layer_9/output/LayerNorm/batchnorm/mul_1_fence_before,Mul,,,0,,,"""""",""""""
bert/encoder/layer_9/output/LayerNorm/batchnorm/mul_1_kernel_time,Mul,CPUExecutionProvider,1036,21,1572864,786432,"[{""float"": [256, 768]}, {""float"": [256, 768]}]","[{""float"": [256, 768]}]"
bert/encoder/layer_9/output/LayerNorm/batchnorm/mul_1_fence_after,Mul,,,0,,,"""""",""""""
bert/encoder/layer_9/output/LayerNorm/batchnorm/add_1_fence_before,Add,,,0,,,"""""",""""""
bert/encoder/layer_9/output/LayerNorm/batchnorm/add_1_kernel_time,Add,CPUExecutionProvider,1039,21,1572864,786432,"[{""float"": [256, 768]}, {""float"": [256, 768]}]","[{""float"": [256, 768]}]"
bert/encoder/layer_9/output/LayerNorm/batchnorm/add_1_fence_after,Add,,,0,,,"""""",""""""
bert/encoder/layer_9/output/LayerNorm/batchnorm/add_1:0_QuantizeLinear_fence_before,DynamicQuantizeLinear,,,0,,,"""""",""""""
bert/encoder/layer_9/output/LayerNorm/batchnorm/add_1:0_QuantizeLinear_kernel_time,DynamicQuantizeLinear,CPUExecutionProvider,1040,70,786432,196613,"[{""float"": [256, 768]}]","[{""uint8"": [256, 768]}, {""float"": []}, {""uint8"": []}]"
bert/encoder/layer_9/output/LayerNorm/batchnorm/add_1:0_QuantizeLinear_fence_after,DynamicQuantizeLinear,,,0,,,"""""",""""""
bert/encoder/layer_10/attention/self/value/MatMul_quant_fence_before,MatMulIntegerToFloat,,,0,,,"""""",""""""
bert/encoder/layer_10/attention/self/value/MatMul_quant_kernel_time,MatMulIntegerToFloat,CPUExecutionProvider,1330,471,196613,786432,"[{""uint8"": [256, 768]}, {""float"": []}, {""float"": [768]}, {""uint8"": []}, {""int8"": [768]}, {""float"": [768]}]","[{""float"": [256, 768]}]"
bert/encoder/layer_10/attention/self/value/MatMul_quant_fence_after,MatMulIntegerToFloat,,,0,,,"""""",""""""
bert/encoder/layer_10/attention/self/Reshape_2_fence_before,Reshape,,,0,,,"""""",""""""
bert/encoder/layer_10/attention/self/Reshape_2_kernel_time,Reshape,CPUExecutionProvider,1072,7,786464,786432,"[{""float"": [256, 768]}, {""int64"": [4]}]","[{""float"": [1, 256, 12, 64]}]"
bert/encoder/layer_10/attention/self/Reshape_2_fence_after,Reshape,,,0,,,"""""",""""""
bert/encoder/layer_10/attention/self/transpose_2_fence_before,Transpose,,,0,,,"""""",""""""
bert/encoder/layer_10/attention/self/transpose_2_kernel_time,Transpose,CPUExecutionProvider,1073,37,786432,786432,"[{""float"": [1, 256, 12, 64]}]","[{""float"": [1, 12, 256, 64]}]"
bert/encoder/layer_10/attention/self/transpose_2_fence_after,Transpose,,,0,,,"""""",""""""
bert/encoder/layer_10/attention/self/transpose_2:0_QuantizeLinear_fence_before,DynamicQuantizeLinear,,,0,,,"""""",""""""
bert/encoder/layer_10/attention/self/transpose_2:0_QuantizeLinear_kernel_time,DynamicQuantizeLinear,CPUExecutionProvider,1075,68,786432,196613,"[{""float"": [1, 12, 256, 64]}]","[{""uint8"": [1, 12, 256, 64]}, {""float"": []}, {""uint8"": []}]"
bert/encoder/layer_10/attention/self/transpose_2:0_QuantizeLinear_fence_after,DynamicQuantizeLinear,,,0,,,"""""",""""""
bert/encoder/layer_10/attention/self/query/MatMul_quant_fence_before,MatMulIntegerToFloat,,,0,,,"""""",""""""
bert/encoder/layer_10/attention/self/query/MatMul_quant_kernel_time,MatMulIntegerToFloat,CPUExecutionProvider,1331,466,196613,786432,"[{""uint8"": [256, 768]}, {""float"": []}, {""float"": [768]}, {""uint8"": []}, {""int8"": [768]}, {""float"": [768]}]","[{""float"": [256, 768]}]"
bert/encoder/layer_10/attention/self/query/MatMul_quant_fence_after,MatMulIntegerToFloat,,,0,,,"""""",""""""
bert/encoder/layer_10/attention/self/Reshape_fence_before,Reshape,,,0,,,"""""",""""""
